            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2421192.500000000, A.D. 1916-Nov-25 00:00:00.0000, -1.271827321916107E+01,  9.898330310685349E+00, -5.130681479627694E+00,
2421222.500000000, A.D. 1916-Dec-25 00:00:00.0000, -1.279216563765291E+01,  9.997302828642948E+00, -5.167307846511599E+00,
2421252.500000000, A.D. 1917-Jan-24 00:00:00.0000, -1.286537481721854E+01,  1.009572928337258E+01, -5.203655208914709E+00,
2421282.500000000, A.D. 1917-Feb-23 00:00:00.0000, -1.293791133818160E+01,  1.019361630235726E+01, -5.239727620976705E+00,
2421312.500000000, A.D. 1917-Mar-25 00:00:00.0000, -1.300978620935271E+01,  1.029097032167998E+01, -5.275528943855392E+00,
2421342.500000000, A.D. 1917-Apr-24 00:00:00.0000, -1.308101016565044E+01,  1.038779655035767E+01, -5.311062983092836E+00,
2421372.500000000, A.D. 1917-May-24 00:00:00.0000, -1.315159250131934E+01,  1.048409990501232E+01, -5.346333534962294E+00,
2421402.500000000, A.D. 1917-Jun-23 00:00:00.0000, -1.322154215839432E+01,  1.057988588675191E+01, -5.381344252182917E+00,
2421432.500000000, A.D. 1917-Jul-23 00:00:00.0000, -1.329086786175480E+01,  1.067515996712443E+01, -5.416098719788246E+00,
2421462.500000000, A.D. 1917-Aug-22 00:00:00.0000, -1.335957797186391E+01,  1.076992811474350E+01, -5.450600433550744E+00,
2421492.500000000, A.D. 1917-Sep-21 00:00:00.0000, -1.342768180523068E+01,  1.086419638810351E+01, -5.484852678953226E+00,
2421522.500000000, A.D. 1917-Oct-21 00:00:00.0000, -1.349518885411174E+01,  1.095796951821751E+01, -5.518858671826600E+00,
2421552.500000000, A.D. 1917-Nov-20 00:00:00.0000, -1.356210753048935E+01,  1.105125162264469E+01, -5.552621591102646E+00,
2421582.500000000, A.D. 1917-Dec-20 00:00:00.0000, -1.362844578303060E+01,  1.114404660926689E+01, -5.586144504294169E+00,
