period,period_dot,class
0.096130563,1.27E-15,X-RAY PULSATOR
0.143158259,3.66945E-15,X-RAY PULSATOR
0.015083667,3.75E-20,X-RAY PULSATOR
0.003119227,1.47285E-20,X-RAY PULSATOR
0.163695236,2.4872E-14,X-RAY PULSATOR
0.039531193,5.8448E-15,X-RAY PULSATOR
0.003170139,3.164E-21,X-RAY PULSATOR
0.200128588,6.5001E-15,X-RAY PULSATOR
0.103740952,9.57209E-14,X-RAY PULSATOR
0.003318112,1.077E-20,X-RAY PULSATOR
0.002727954,4.8E-21,X-RAY PULSATOR
0.04857878,8.61E-14,X-RAY PULSATOR
0.636957394,5.2832E-15,X-RAY PULSATOR
0.14324647,1.13E-14,X-RAY PULSATOR
0.003299339,7.047E-21,X-RAY PULSATOR
0.002600835,1.6873E-20,X-RAY PULSATOR
0.002323091,7.73955E-20,X-RAY PULSATOR
0.005192325,1.38681E-20,X-RAY PULSATOR
0.003193104,4.31E-20,X-RAY PULSATOR
0.00475,,X-RAY PULSATOR
0.00296,1.17E-20,X-RAY PULSATOR
0.083157305,4.2792E-16,X-RAY PULSATOR
0.002159288,2.933E-21,X-RAY PULSATOR
0.00339,,X-RAY PULSATOR
0.00168,,X-RAY PULSATOR
0.002868953,3.4483E-21,X-RAY PULSATOR
0.00260962,3.34E-20,X-RAY PULSATOR
0.005255749,1.7127E-20,X-RAY PULSATOR
0.156384122,4.39496E-15,X-RAY PULSATOR
0.002427888,2.798E-21,X-RAY PULSATOR
0.002602877,7.49E-20,X-RAY PULSATOR
0.1399345,1.5358E-14,X-RAY PULSATOR
0.002415548,1.97939E-20,X-RAY PULSATOR
0.217094,5.509E-14,X-RAY PULSATOR
0.051623574,7.827E-14,X-RAY PULSATOR
0.115363568,5.96703E-15,X-RAY PULSATOR
0.065715928,1.93754E-13,X-RAY PULSATOR
0.002885736,1.21905E-20,X-RAY PULSATOR
0.00291,,X-RAY PULSATOR
0.002846,,X-RAY PULSATOR
0.00438816,1.261E-20,X-RAY PULSATOR
0.00316,,X-RAY PULSATOR
0.002512642,3.24E-21,X-RAY PULSATOR
