period,period_dot,class
0.558383386,7.8E-17,RADIO PULSAR
0.422450532,3.5775E-15,RADIO PULSAR
0.478230933,2.11E-15,RADIO PULSAR
0.028968593,,RADIO PULSAR
1.044851,,RADIO PULSAR
1.022875141,4.52E-16,RADIO PULSAR
0.282011711,5.59E-16,RADIO PULSAR
2.951938334,1.48E-14,RADIO PULSAR
0.182911508,,RADIO PULSAR
0.981902118,5.86E-15,RADIO PULSAR
0.506058414,2.587E-15,RADIO PULSAR
2.283093351,1.092E-14,RADIO PULSAR
0.448635442,7.08E-16,RADIO PULSAR
0.342825398,5.297E-15,RADIO PULSAR
0.455761,,RADIO PULSAR
0.400525717,3.93281E-15,RADIO PULSAR
0.374053014,1.68236E-14,RADIO PULSAR
0.529929187,1.8792E-14,RADIO PULSAR
0.292407702,2.229E-15,RADIO PULSAR
0.193339746,2.53107E-13,RADIO PULSAR
0.515983511,1.1E-17,RADIO PULSAR
0.850664943,3.0835E-14,RADIO PULSAR
0.198838604,2.28E-17,RADIO PULSAR
0.003543431,3.8707E-21,RADIO PULSAR
0.50173031,4.8E-16,RADIO PULSAR
0.034527835,1.874E-19,RADIO PULSAR
0.585761208,2.0196E-14,RADIO PULSAR
0.117563794,1.24784E-14,RADIO PULSAR
0.276603043,3.1E-18,RADIO PULSAR
1.239000579,1.37911E-14,RADIO PULSAR
0.427773663,3.21575E-14,RADIO PULSAR
1.565217964,3.39E-14,RADIO PULSAR
0.505097149,1.251E-14,RADIO PULSAR
0.701614949,8.85E-15,RADIO PULSAR
0.184502203,6.24E-16,RADIO PULSAR
0.987783069,-3.8E-17,RADIO PULSAR
0.467616323,6.3304E-15,RADIO PULSAR
0.844108575,5.58E-15,RADIO PULSAR
0.315258433,9.9033E-14,RADIO PULSAR
1.799395668,1.558E-13,RADIO PULSAR
0.28562462,3.3344E-13,RADIO PULSAR
0.962510611,1.68E-15,RADIO PULSAR
1.175840023,3.6E-16,RADIO PULSAR
0.808546089,6E-17,RADIO PULSAR
0.65797363,4E-15,RADIO PULSAR
0.259364764,5.11709E-15,RADIO PULSAR
0.84210384,1.348E-15,RADIO PULSAR
0.213074654,5.4701E-14,RADIO PULSAR
0.361921325,2.9213E-16,RADIO PULSAR
0.306410837,1.784E-15,RADIO PULSAR
0.846907,,RADIO PULSAR
0.288605287,1.04047E-14,RADIO PULSAR
1.25308459,3.25E-15,RADIO PULSAR
0.529156398,1.91E-15,RADIO PULSAR
0.063202131,1.58446E-14,RADIO PULSAR
2.154307061,8.372E-15,RADIO PULSAR
0.421118114,1.5012E-15,RADIO PULSAR
0.064961852,3.14596E-14,RADIO PULSAR
0.280905302,1.96673E-15,RADIO PULSAR
0.640233748,6.46E-15,RADIO PULSAR
2.948389604,1.17E-14,RADIO PULSAR
0.009347972,2.45E-20,RADIO PULSAR
0.947558409,9.239E-14,RADIO PULSAR
0.88085825,4.6013E-14,RADIO PULSAR
0.540102321,4.3E-17,RADIO PULSAR
0.284352672,1.5272E-15,RADIO PULSAR
0.202736912,2.8128E-16,RADIO PULSAR
2.347488363,2.5814E-15,RADIO PULSAR
0.259779371,7.22765E-15,RADIO PULSAR
0.492344207,3.156E-15,RADIO PULSAR
0.583764997,4.29E-16,RADIO PULSAR
1.216975723,1E-17,RADIO PULSAR
1.954429635,5.63E-15,RADIO PULSAR
0.127508466,6.33028E-15,RADIO PULSAR
0.295580482,4.28E-15,RADIO PULSAR
0.154992192,1.45056E-15,RADIO PULSAR
0.626323942,2.88E-16,RADIO PULSAR
0.384645,,RADIO PULSAR
0.273374509,1.7884E-15,RADIO PULSAR
0.963348323,1.03E-15,RADIO PULSAR
4.758575568,1.8542E-14,RADIO PULSAR
0.14048129,6.73794E-15,RADIO PULSAR
0.396586749,9.904E-16,RADIO PULSAR
0.627285366,1.9461E-14,RADIO PULSAR
1.8894355,2.7E-16,RADIO PULSAR
0.340854177,5.22E-16,RADIO PULSAR
0.306323025,9.1E-16,RADIO PULSAR
0.339038449,2.121E-15,RADIO PULSAR
1.958737042,1.371E-15,RADIO PULSAR
0.376569566,6.685E-15,RADIO PULSAR
0.306367863,3.02E-15,RADIO PULSAR
0.005277327,2.16E-21,RADIO PULSAR
0.008485494,7.4122E-19,RADIO PULSAR
0.009035285,9.6431E-19,RADIO PULSAR
0.004571766,-4.3435E-19,RADIO PULSAR
0.061696123,8.587E-15,RADIO PULSAR
0.008357799,-7.9041E-19,RADIO PULSAR
0.003266187,2.94703E-21,RADIO PULSAR
0.616270272,6.57E-16,RADIO PULSAR
0.472996377,1.54793E-15,RADIO PULSAR
0.180591501,1.99831E-14,RADIO PULSAR
0.529121257,1.368E-15,RADIO PULSAR
0.609961754,1.416E-14,RADIO PULSAR
1.516530965,3.4E-16,RADIO PULSAR
1.046117157,8.5284E-15,RADIO PULSAR
0.22832425,2.09E-16,RADIO PULSAR
1.672595681,2.71E-16,RADIO PULSAR
1.072121212,2.96E-17,RADIO PULSAR
0.346908958,4.074E-15,RADIO PULSAR
2.760227945,8.2E-15,RADIO PULSAR
0.493091,,RADIO PULSAR
7.733640265,5.99E-14,RADIO PULSAR
0.354233941,8E-18,RADIO PULSAR
0.763914831,4.2751E-14,RADIO PULSAR
0.442900936,5.56474E-16,RADIO PULSAR
0.007796729,1.61E-20,RADIO PULSAR
0.148797468,2.8786E-15,RADIO PULSAR
0.680983832,9.52E-16,RADIO PULSAR
1.213381227,5.986E-15,RADIO PULSAR
0.485268384,1.26E-16,RADIO PULSAR
0.1761912,,RADIO PULSAR
1.279057595,2.37E-15,RADIO PULSAR
1.238305344,4.047E-14,RADIO PULSAR
0.713489254,1.04E-16,RADIO PULSAR
