            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2349276.500000000, A.D. 1720-Jan-01 00:00:00.0000, -2.338023875533256E-01,  9.549755600389399E-01,  5.946548341738101E-04,
2349307.500000000, A.D. 1720-Feb-01 00:00:00.0000, -7.007329262992879E-01,  6.934420832619548E-01,  4.034950388807019E-04,
2349336.500000000, A.D. 1720-Mar-01 00:00:00.0000, -9.560854228276905E-01,  2.644873849530938E-01,  1.180279068918563E-04,
2349367.500000000, A.D. 1720-Apr-01 00:00:00.0000, -9.651273902643976E-01, -2.643461734501322E-01, -2.170347773280803E-04,
2349397.500000000, A.D. 1720-May-01 00:00:00.0000, -7.183790942074937E-01, -7.083275420804538E-01, -4.850443875742583E-04,
2349428.500000000, A.D. 1720-Jun-01 00:00:00.0000, -2.726128098795869E-01, -9.775746885964981E-01, -6.319075419232462E-04,
2349458.500000000, A.D. 1720-Jul-01 00:00:00.0000,  2.295560607058828E-01, -9.906095343471639E-01, -6.146087599079873E-04,
2349489.500000000, A.D. 1720-Aug-01 00:00:00.0000,  6.872029670693066E-01, -7.462278447221613E-01, -4.375654074605897E-04,
2349520.500000000, A.D. 1720-Sep-01 00:00:00.0000,  9.614554121985974E-01, -3.031449240754771E-01, -1.447678362335689E-04,
2349550.500000000, A.D. 1720-Oct-01 00:00:00.0000,  9.785743357584979E-01,  2.049387103129722E-01,  1.770809728594480E-04,
2349581.500000000, A.D. 1720-Nov-01 00:00:00.0000,  7.289135007364405E-01,  6.717457734568497E-01,  4.601492253552940E-04,
2349611.500000000, A.D. 1720-Dec-01 00:00:00.0000,  2.888256889591685E-01,  9.419626661914905E-01,  6.104123383695771E-04,
2349642.500000000, A.D. 1721-Jan-01 00:00:00.0000, -2.464681328036716E-01,  9.518130894502556E-01,  5.921595831753118E-04,
2349673.500000000, A.D. 1721-Feb-01 00:00:00.0000, -7.099399820287172E-01,  6.842083491265182E-01,  4.010227347452941E-04,
2349701.500000000, A.D. 1721-Mar-01 00:00:00.0000, -9.548774155590539E-01,  2.687099606212114E-01,  1.253409697895949E-04,
2349732.500000000, A.D. 1721-Apr-01 00:00:00.0000, -9.662231996996301E-01, -2.601293706683664E-01, -2.108093329855504E-04,
2349762.500000000, A.D. 1721-May-01 00:00:00.0000, -7.213834382943177E-01, -7.052110707045636E-01, -4.819352406958616E-04,
2349793.500000000, A.D. 1721-Jun-01 00:00:00.0000, -2.767557615388146E-01, -9.763837202199344E-01, -6.335689894110954E-04,
2349823.500000000, A.D. 1721-Jul-01 00:00:00.0000,  2.253528595917362E-01, -9.915778540278636E-01, -6.189787597249577E-04,
2349854.500000000, A.D. 1721-Aug-01 00:00:00.0000,  6.840187446468508E-01, -7.491668504031929E-01, -4.426569661935085E-04,
2349885.500000000, A.D. 1721-Sep-01 00:00:00.0000,  9.601469195846869E-01, -3.073077075057538E-01, -1.473951053750567E-04,
2349915.500000000, A.D. 1721-Oct-01 00:00:00.0000,  9.794712056108993E-01,  2.006463258493478E-01,  1.769045369834664E-04,
2349946.500000000, A.D. 1721-Nov-01 00:00:00.0000,  7.318842063710866E-01,  6.684851428921535E-01,  4.621630000241454E-04,
2349976.500000000, A.D. 1721-Dec-01 00:00:00.0000,  2.930332155840805E-01,  9.406221555051465E-01,  6.122483557226213E-04,
2350007.500000000, A.D. 1722-Jan-01 00:00:00.0000, -2.421649730141702E-01,  9.528537917757128E-01,  5.913892464929079E-04,
2350038.500000000, A.D. 1722-Feb-01 00:00:00.0000, -7.067992619917385E-01,  6.873447933212546E-01,  3.976994559386579E-04,
2350066.500000000, A.D. 1722-Mar-01 00:00:00.0000, -9.535830510186709E-01,  2.729384441168035E-01,  1.227422493581992E-04,
2350097.500000000, A.D. 1722-Apr-01 00:00:00.0000, -9.672744821285786E-01, -2.558145838236094E-01, -2.133486346393032E-04,
2350127.500000000, A.D. 1722-May-01 00:00:00.0000, -7.244082658743670E-01, -7.019598248062887E-01, -4.826369654905596E-04,
2350158.500000000, A.D. 1722-Jun-01 00:00:00.0000, -2.809968576427089E-01, -9.750841607408913E-01, -6.306628605090362E-04,
2350188.500000000, A.D. 1722-Jul-01 00:00:00.0000,  2.210325167156825E-01, -9.924967748528450E-01, -6.143805953462118E-04,
2350219.500000000, A.D. 1722-Aug-01 00:00:00.0000,  6.807523288223576E-01, -7.521493736674968E-01, -4.379082374672266E-04,
2350250.500000000, A.D. 1722-Sep-01 00:00:00.0000,  9.588459503044530E-01, -3.115674090477258E-01, -1.462894141613092E-04,
2350280.500000000, A.D. 1722-Oct-01 00:00:00.0000,  9.804567000164710E-01,  1.962543454373620E-01,  1.740302024065120E-04,
2350311.500000000, A.D. 1722-Nov-01 00:00:00.0000,  7.350185340246710E-01,  6.651878504676346E-01,  4.556145117059314E-04,
2350341.500000000, A.D. 1722-Dec-01 00:00:00.0000,  2.974267631554370E-01,  9.393166014827549E-01,  6.056372518795155E-04,
2350372.500000000, A.D. 1723-Jan-01 00:00:00.0000, -2.377275813554544E-01,  9.540060830766313E-01,  5.879593303083586E-04,
2350403.500000000, A.D. 1723-Feb-01 00:00:00.0000, -7.036141875451588E-01,  6.905965703679793E-01,  3.999764393914427E-04,
2350431.500000000, A.D. 1723-Mar-01 00:00:00.0000, -9.522775658941650E-01,  2.772653277015965E-01,  1.276341777490319E-04,
