 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Tru_Anom,  Sky_motion, Sky_mot_PA, RelVel-ANG, Lun_Sky_Brt  sky_SNR
************************************************************************************************************************************************************************************************
$$SOE
 1719-Jun-01 00:00, , , 13 25 14.15, +20 35 00.7,   17.020,   n.a.,  52.7061522782160,  0.0888287,    0.0000,/*,    0.0007,  172.5189,   0.0059304,  97.010264,  1.3467821,        n.a.     n.a.
 1719-Jul-01 00:00, , , 13 25 29.10, +20 32 33.8,   17.020,   n.a.,  52.7076796658755,  0.0874822,    0.0000,/*,    0.0007,  172.6293,   0.0059303,  97.032862,  1.3263684,        n.a.     n.a.
 1719-Aug-01 00:00, , , 13 25 44.54, +20 30 02.0,   17.020,   n.a.,  52.7092336899367,  0.0861127,    0.0000,/*,    0.0007,  172.7427,   0.0059301,  97.056520,  1.3056231,        n.a.     n.a.
 1719-Sep-01 00:00, , , 13 25 59.97, +20 27 30.1,   17.021,   n.a.,  52.7107634905954,  0.0847901,    0.0000,/*,    0.0007,  172.8537,   0.0059298,  97.080613,  1.2856064,        n.a.     n.a.
 1719-Oct-01 00:00, , , 13 26 14.89, +20 25 03.1,   17.021,   n.a.,  52.7122220494955,  0.0835828,    0.0000,/*,    0.0007,  172.9545,   0.0059295,  97.104361,  1.2673258,        n.a.     n.a.
 1719-Nov-01 00:00, , , 13 26 30.30, +20 22 31.1,   17.021,   n.a.,  52.7137074940883,  0.0823420,    0.0000,/*,    0.0007,  173.0562,   0.0059294,  97.128761,  1.2485109,        n.a.     n.a.
 1719-Dec-01 00:00, , , 13 26 45.21, +20 20 03.9,   17.021,   n.a.,  52.7151234862293,  0.0810990,    0.0000,/*,    0.0007,  173.1576,   0.0059293,  97.151958,  1.2296513,        n.a.     n.a.
 1720-Jan-01 00:00, , , 13 27 00.61, +20 17 31.8,   17.021,   n.a.,  52.7165635593196,  0.0797571,    0.0000,/*,    0.0007,  173.2671,   0.0059293,  97.175475,  1.2092898,        n.a.     n.a.
 1720-Feb-01 00:00, , , 13 27 16.00, +20 14 59.6,   17.021,   n.a.,  52.7179788328510,  0.0783232,    0.0000,/*,    0.0007,  173.3853,   0.0059291,  97.198455,  1.1875470,        n.a.     n.a.
 1720-Mar-01 00:00, , , 13 27 30.39, +20 12 37.1,   17.021,   n.a.,  52.7192791833004,  0.0769549,    0.0000,/*,    0.0007,  173.5005,   0.0059289,  97.219988,  1.1668329,        n.a.     n.a.
 1720-Apr-01 00:00, , , 13 27 45.76, +20 10 04.8,   17.021,   n.a.,  52.7206441749869,  0.0755352,    0.0000,/*,    0.0007,  173.6217,   0.0059284,  97.243478,  1.1453616,        n.a.     n.a.
 1720-May-01 00:00, , , 13 28 00.63, +20 07 37.4,   17.022,   n.a.,  52.7219412458738,  0.0741911,    0.0000,/*,    0.0007,  173.7370,   0.0059280,  97.266509,  1.1250400,        n.a.     n.a.
 1720-Jun-01 00:00, , , 13 28 15.98, +20 05 04.9,   17.022,   n.a.,  52.7232575111247,  0.0728532,    0.0000,/*,    0.0007,  173.8521,   0.0059275,  97.290683,  1.1048163,        n.a.     n.a.
 1720-Jul-01 00:00, , , 13 28 30.83, +20 02 37.3,   17.022,   n.a.,  52.7245088443933,  0.0715897,    0.0000,/*,    0.0007,  173.9600,   0.0059272,  97.314219,  1.0857051,        n.a.     n.a.
 1720-Aug-01 00:00, , , 13 28 46.17, +20 00 04.8,   17.022,   n.a.,  52.7257785288384,  0.0702346,    0.0000,/*,    0.0007,  174.0751,   0.0059268,  97.338184,  1.0651981,        n.a.     n.a.
 1720-Sep-01 00:00, , , 13 29 01.50, +19 57 32.2,   17.022,   n.a.,  52.7270236552560,  0.0688526,    0.0000,/*,    0.0007,  174.1934,   0.0059264,  97.362060,  1.0442934,        n.a.     n.a.
 1720-Oct-01 00:00, , , 13 29 16.33, +19 55 04.4,   17.022,   n.a.,  52.7282050742789,  0.0675196,    0.0000,/*,    0.0007,  174.3080,   0.0059259,  97.385299,  1.0241372,        n.a.     n.a.
 1720-Nov-01 00:00, , , 13 29 31.64, +19 52 31.7,   17.022,   n.a.,  52.7294015325037,  0.0661397,    0.0000,/*,    0.0007,  174.4275,   0.0059254,  97.409416,  1.0032811,        n.a.     n.a.
 1720-Dec-01 00:00, , , 13 29 46.45, +19 50 03.8,   17.022,   n.a.,  52.7305363064773,  0.0648573,    0.0000,/*,    0.0007,  174.5391,   0.0059248,  97.433144,  0.9839066,        n.a.     n.a.
 1721-Jan-01 00:00, , , 13 30 01.75, +19 47 31.0,   17.022,   n.a.,  52.7316860324317,  0.0635737,    0.0000,/*,    0.0007,  174.6500,   0.0059243,  97.457828,  0.9645001,        n.a.     n.a.
 1721-Feb-01 00:00, , , 13 30 17.03, +19 44 58.1,   17.022,   n.a.,  52.7328125017201,  0.0622571,    0.0000,/*,    0.0007,  174.7631,   0.0059238,  97.482198,  0.9445844,        n.a.     n.a.
 1721-Mar-01 00:00, , , 13 30 30.83, +19 42 39.9,   17.023,   n.a.,  52.7338094873754,  0.0610400,    0.0000,/*,    0.0007,  174.8675,   0.0059234,  97.503993,  0.9261712,        n.a.     n.a.
 1721-Apr-01 00:00, , , 13 30 46.10, +19 40 06.9,   17.023,   n.a.,  52.7348899761931,  0.0596437,    0.0000,/*,    0.0007,  174.9873,   0.0059229,  97.527852,  0.9050438,        n.a.     n.a.
 1721-May-01 00:00, , , 13 31 00.87, +19 37 38.8,   17.023,   n.a.,  52.7359112068800,  0.0582378,    0.0000,/*,    0.0007,  175.1093,   0.0059223,  97.550820,  0.8837890,        n.a.     n.a.
 1721-Jun-01 00:00, , , 13 31 16.12, +19 35 05.7,   17.023,   n.a.,  52.7369411113482,  0.0568215,    0.0000,/*,    0.0007,  175.2337,   0.0059215,  97.575075,  0.8623990,        n.a.     n.a.
 1721-Jul-01 00:00, , , 13 31 30.87, +19 32 37.5,   17.023,   n.a.,  52.7379143001471,  0.0555201,    0.0000,/*,    0.0007,  175.3486,   0.0059206,  97.599158,  0.8427508,        n.a.     n.a.
 1721-Aug-01 00:00, , , 13 31 46.10, +19 30 04.3,   17.023,   n.a.,  52.7388967144344,  0.0542372,    0.0000,/*,    0.0007,  175.4622,   0.0059198,  97.624530,  0.8233874,        n.a.     n.a.
 1721-Sep-01 00:00, , , 13 32 01.32, +19 27 31.0,   17.023,   n.a.,  52.7398568661181,  0.0530279,    0.0000,/*,    0.0007,  175.5687,   0.0059190,  97.650302,  0.8051254,        n.a.     n.a.
 1721-Oct-01 00:00, , , 13 32 16.04, +19 25 02.6,   17.023,   n.a.,  52.7407656261415,  0.0518593,    0.0000,/*,    0.0007,  175.6702,   0.0059183,  97.675078,  0.7874566,        n.a.     n.a.
 1721-Nov-01 00:00, , , 13 32 31.24, +19 22 29.3,   17.023,   n.a.,  52.7416828932743,  0.0505992,    0.0000,/*,    0.0007,  175.7792,   0.0059177,  97.700276,  0.7683962,        n.a.     n.a.
 1721-Dec-01 00:00, , , 13 32 45.95, +19 20 00.8,   17.023,   n.a.,  52.7425487799088,  0.0493477,    0.0000,/*,    0.0007,  175.8875,   0.0059170,  97.724482,  0.7494648,        n.a.     n.a.
 1722-Jan-01 00:00, , , 13 33 01.13, +19 17 27.3,   17.023,   n.a.,  52.7434204857679,  0.0480193,    0.0000,/*,    0.0007,  176.0026,   0.0059163,  97.749367,  0.7293714,        n.a.     n.a.
 1722-Feb-01 00:00, , , 13 33 16.31, +19 14 53.8,   17.023,   n.a.,  52.7442683518790,  0.0467018,    0.0000,/*,    0.0007,  176.1176,   0.0059154,  97.774515,  0.7094557,        n.a.     n.a.
 1722-Mar-01 00:00, , , 13 33 30.01, +19 12 35.1,   17.023,   n.a.,  52.7450143275209,  0.0455676,    0.0000,/*,    0.0007,  176.2171,   0.0059146,  97.797673,  0.6923153,        n.a.     n.a.
 1722-Apr-01 00:00, , , 13 33 45.16, +19 10 01.5,   17.024,   n.a.,  52.7458191787743,  0.0443383,    0.0000,/*,    0.0007,  176.3243,   0.0059137,  97.823470,  0.6737308,        n.a.     n.a.
 1722-May-01 00:00, , , 13 33 59.82, +19 07 32.8,   17.024,   n.a.,  52.7465771957918,  0.0431624,    0.0000,/*,    0.0007,  176.4268,   0.0059128,  97.848531,  0.6559490,        n.a.     n.a.
 1722-Jun-01 00:00, , , 13 34 14.96, +19 04 59.1,   17.024,   n.a.,  52.7473391516367,  0.0419530,    0.0000,/*,    0.0007,  176.5317,   0.0059120,  97.874460,  0.6376558,        n.a.     n.a.
 1722-Jul-01 00:00, , , 13 34 29.60, +19 02 30.3,   17.024,   n.a.,  52.7480556030031,  0.0407396,    0.0000,/*,    0.0007,  176.6366,   0.0059111,  97.899352,  0.6192943,        n.a.     n.a.
 1722-Aug-01 00:00, , , 13 34 44.71, +18 59 56.4,   17.024,   n.a.,  52.7487737558801,  0.0394895,    0.0000,/*,    0.0007,  176.7454,   0.0059101,  97.925326,  0.6003868,        n.a.     n.a.
 1722-Sep-01 00:00, , , 13 34 59.82, +18 57 22.6,   17.024,   n.a.,  52.7494700525868,  0.0383051,    0.0000,/*,    0.0007,  176.8488,   0.0059090,  97.951899,  0.5824794,        n.a.     n.a.
 1722-Oct-01 00:00, , , 13 35 14.43, +18 54 53.6,   17.024,   n.a.,  52.7501241400665,  0.0372066,    0.0000,/*,    0.0007,  176.9447,   0.0059080,  97.977985,  0.5658690,        n.a.     n.a.
 1722-Nov-01 00:00, , , 13 35 29.52, +18 52 19.7,   17.024,   n.a.,  52.7507806961532,  0.0361468,    0.0000,/*,    0.0007,  177.0372,   0.0059069,  98.005379,  0.5498425,        n.a.     n.a.
 1722-Dec-01 00:00, , , 13 35 44.11, +18 49 50.6,   17.024,   n.a.,  52.7513984799746,  0.0351644,    0.0000,/*,    0.0007,  177.1221,   0.0059061,  98.031970,  0.5349734,        n.a.     n.a.
 1723-Jan-01 00:00, , , 13 35 59.17, +18 47 16.6,   17.024,   n.a.,  52.7520185778584,  0.0340960,    0.0000,/*,    0.0007,  177.2133,   0.0059052,  98.058936,  0.5187867,        n.a.     n.a.
 1723-Feb-01 00:00, , , 13 36 14.23, +18 44 42.5,   17.024,   n.a.,  52.7526191001908,  0.0329791,    0.0000,/*,    0.0007,  177.3084,   0.0059044,  98.085581,  0.5018605,        n.a.     n.a.
 1723-Mar-01 00:00, , , 13 36 27.82, +18 42 23.2,   17.024,   n.a.,  52.7531440802475,  0.0319425,    0.0000,/*,    0.0007,  177.3966,   0.0059036,  98.109566,  0.4861500,        n.a.     n.a.
 1723-Apr-01 00:00, , , 13 36 42.86, +18 39 49.0,   17.024,   n.a.,  52.7537054323164,  0.0307700,    0.0000,/*,    0.0007,  177.4968,   0.0059025,  98.136216,  0.4683838,        n.a.     n.a.
 1723-May-01 00:00, , , 13 36 57.40, +18 37 19.7,   17.024,   n.a.,  52.7542291797602,  0.0297016,    0.0000,/*,    0.0007,  177.5887,   0.0059014,  98.162681,  0.4522039,        n.a.     n.a.
 1723-Jun-01 00:00, , , 13 37 12.42, +18 34 45.4,   17.024,   n.a.,  52.7547518372394,  0.0286930,    0.0000,/*,    0.0007,  177.6755,   0.0059002,  98.190720,  0.4369321,        n.a.     n.a.
 1723-Jul-01 00:00, , , 13 37 26.94, +18 32 16.0,   17.024,   n.a.,  52.7552408594454,  0.0277657,    0.0000,/*,    0.0007,  177.7551,   0.0058991,  98.218158,  0.4228866,        n.a.     n.a.
 1723-Aug-01 00:00, , , 13 37 41.93, +18 29 41.6,   17.024,   n.a.,  52.7557298042794,  0.0268585,    0.0000,/*,    0.0007,  177.8325,   0.0058980,  98.246741,  0.4091400,        n.a.     n.a.
 1723-Sep-01 00:00, , , 13 37 56.92, +18 27 07.2,   17.024,   n.a.,  52.7562026504738,  0.0259512,    0.0000,/*,    0.0007,  177.9092,   0.0058971,  98.275188,  0.3953786,        n.a.     n.a.
 1723-Oct-01 00:00, , , 13 38 11.41, +18 24 37.6,   17.024,   n.a.,  52.7566443512581,  0.0250339,    0.0000,/*,    0.0007,  177.9865,   0.0058961,  98.302495,  0.3814621,        n.a.     n.a.
 1723-Nov-01 00:00, , , 13 38 26.37, +18 22 03.1,   17.024,   n.a.,  52.7570841556042,  0.0241021,    0.0000,/*,    0.0007,  178.0650,   0.0058951,  98.330911,  0.3673250,        n.a.     n.a.
 1723-Dec-01 00:00, , , 13 38 40.85, +18 19 33.4,   17.024,   n.a.,  52.7574942204837,  0.0232315,    0.0000,/*,    0.0007,  178.1383,   0.0058941,  98.358646,  0.3541142,        n.a.     n.a.
 1724-Jan-01 00:00, , , 13 38 55.79, +18 16 58.8,   17.024,   n.a.,  52.7579023459844,  0.0223704,    0.0000,/*,    0.0007,  178.2107,   0.0058931,  98.387583,  0.3410472,        n.a.     n.a.
 1724-Feb-01 00:00, , , 13 39 10.72, +18 14 24.0,   17.025,   n.a.,  52.7582956364593,  0.0215725,    0.0000,/*,    0.0007,  178.2777,   0.0058920,  98.416830,  0.3289383,        n.a.     n.a.
 1724-Mar-01 00:00, , , 13 39 24.69, +18 11 59.2,   17.025,   n.a.,  52.7586508044734,  0.0208299,    0.0000,/*,    0.0007,  178.3394,   0.0058912,  98.444049,  0.3176573,        n.a.     n.a.
 1724-Apr-01 00:00, , , 13 39 39.60, +18 09 24.4,   17.025,   n.a.,  52.7590163968741,  0.0200061,    0.0000,/*,    0.0007,  178.4076,   0.0058903,  98.472913,  0.3051379,        n.a.     n.a.
